sku,websites,store,has_options,brand,manufacturer,type,bundle_attributes,bundle_attribute_products,tax_class_id,attribute_set,config_attributes,news_from_date,category_ids,gallery,name,short_name,image,small_image,thumbnail,options_container,status,enable_googlecheckout,visibility,weight,length,width,height,shipping_length,shipping_width,shipping_height,capacity,warranty,short_description,description,description_specs,description_related,description_addon_title,qty,meta_title,meta_description,limited_stock_qty,is_in_stock,assort,upsell,crosssell,color,Size:drop_down:1,size,Wholesale,Normal,price,special_price,special_from_date,special_to_date,associated,Normal_Quantity_1,Normal_Price_1,Normal_Quantity_2,Normal_Price_2,Normal_Quantity_3,Normal_Price_3,Normal_Quantity_4,Normal_Price_4,Normal_Quantity_5,Normal_Price_5,mptp_cat_id,mptp_update_status,power_consumption,product_weight,compatible_products,MAP,child_attributes,child_attribute_options
LET0405,base,default,,LET Lighting,LET Lighting,simple,,,None,Default,,,,,Miro-4 T5 Reflector for 1x54W Bulb (no clips),1x54W Bulb ,/let/let_miro4_t5_relector.jpg,/let/let_miro4_t5_relector.jpg,/let/let_miro4_t5_relector.jpg,Block after Info Column,Enabled,No,,0.5,43.3,2.5,0.7,,,,,1 Year Manufacturer's Limited Warranty,Unavailable,Individual parabolic reflector made from 96% German-made reflective aluminum for one 54W T5 bulb. Increases bulb output by over 300% compared to bulb alone. The mirror like finish resists potting and staining. Sold complete with epoxy coated bulb clips and screws. Some assembly required.,,,,152,Miro-4 T5 Reflector for 1x54W Bulb by LET Lighting,Individual parabolic reflector made from 96% German-made reflective aluminum for one T5 bulb. Increases bulb output by over 300% compared to bulb alone.,20,1,,,,,,,12.45,21.95,21.95,,,,,6,11.45,,,,,,,,,LETMIRO4REFLECTOR,,,0.2,LET Lighting Miro-4 Retrofit Kits,21.95,,
LET0407,base,default,,LET Lighting,LET Lighting,simple,,,None,Default,,,,,Miro-4 T5 Reflector for 1x80W Bulb (no clips),1x80W Bulb ,/let/let_miro4_t5_relector.jpg,/let/let_miro4_t5_relector.jpg,/let/let_miro4_t5_relector.jpg,Block after Info Column,Enabled,No,,1,54.5,2.5,0.7,,,,,1 Year Manufacturer's Limited Warranty,Unavailable,Individual parabolic reflector made from 96% German-made reflective aluminum for one 80W T5 bulb. Increases bulb output by over 300% compared to bulb alone. The mirror like finish resists potting and staining. Sold complete with epoxy coated bulb clips and screws. Some assembly required.,,,,114,Miro-4 T5 Reflector for 1x80W Bulb by LET Lighting,Individual parabolic reflector made from 96% German-made reflective aluminum for one T5 bulb. Increases bulb output by over 300% compared to bulb alone.,10,1,,,,,,,14.45,23.95,23.95,,,,,6,13.45,,,,,,,,,LETMIRO4REFLECTOR,,,0.3,LET Lighting Miro-4 Retrofit Kits,23.95,,
XX0035,base,default,,LET Lighting,LET Lighting,simple,,,None,Default,,,"153,59",,Bulb Clips for Miro-4 T5 Reflector (Pair),,/misc/noimage.jpg,/misc/noimage.jpg,/misc/noimage.jpg,Block after Info Column,Enabled,No,"Catalog, Search",0.5,,,,,,,,1 Year Manufacturer's Limited Warranty,Bulb Clips for LET Tek 2 / LET Miro-4 T5 Reflectors,Bulb Clips for LET Lighting Miro-4 T5 Reflectors.,,,,354,Bulb Clips for LET Lighting Miro-4 T5 Reflectors,Bulb Clips for LET Lighting Miro-4 T5 Reflectors.,20,1,,,,,,,1.5,1.95,1.95,,,,,,,,,,,,,,,,,,0.1,LET Lighting Miro-4 Retrofit Kits,1.95,,
ATI-BMAIRFILTER,base,default,,ATI,ATI,grouped,,,None,Default,,,"131,92",,Air Filter for Bubble Master,,/ati/ati_noimage.jpg,/ati/ati_noimage.jpg,/ati/ati_noimage.jpg,Block after Info Column,,No,"Catalog, Search",,,,,,,,,1 Year Manufacturer's Limited Warranty,Air Filter for Bubble Master,ATI Air Filter for Bubble Master,,,,,Air Filter for Bubble Master by ATI,Air Filter for Bubble Master,0,1,,,,,,,,,,,,,"ATI0175,ATI0177",,,,,,,,,,,,,,,,,,
ATI0175,base,default,,ATI,ATI,simple,,,None,Default,,,,,Air Filter for Bubble Master 200,Bubble Master 200,/ati/ati_noimage.jpg,/ati/ati_noimage.jpg,/ati/ati_noimage.jpg,Block after Info Column,Enabled,No,,0.5,,,,,,,,1 Year Manufacturer's Limited Warranty,Air Filter for Bubble Master 200,ATI Air Filter for Bubble Master 200,,,,3,Air Filter for Bubble Master 200 by ATI,Air Filter for Bubble Master 200,2,1,,,,,,,7.95,10.95,10.95,,,,,,,,,,,,,,,,,,0.1,ATI Bubble Master 200,10.95,,
ATI0177,base,default,,ATI,ATI,simple,,,None,Default,,,,,Air Filter for Bubble Master 250,Bubble Master 250,/ati/ati_noimage.jpg,/ati/ati_noimage.jpg,/ati/ati_noimage.jpg,Block after Info Column,Enabled,No,,0.5,,,,,,,,1 Year Manufacturer's Limited Warranty,Air Filter for Bubble Master 250,ATI Air Filter for Bubble Master 250,,,,3,Air Filter for Bubble Master 250 by ATI,Air Filter for Bubble Master 250,2,1,,,,,,,7.95,10.95,10.95,,,,,,,,,,,,,,,,,,0.1,ATI Bubble Master 250,10.95,,
ATI0203,base,default,,ATI,ATI,simple,,,None,Default,,,,,Gardena Air Valve for Bubble Master Skimmer,,/ati/ati_noimage.jpg,/ati/ati_noimage.jpg,/ati/ati_noimage.jpg,Block after Info Column,Enabled,No,"Catalog, Search",0.5,,,,,,,,,Gardena Air Valve for Bubble Master Skimmer,Gardena Air Valve for Bubble Master Skimmer,,,,2,Gardena Air Valve for Bubble Master Skimmer by ATI,Gardena Air Valve for Bubble Master Skimmer,2,1,,,,,,,6.95,9.95,9.95,,,,,,,,,,,,,,,,,,0.1,,9.95,,
ATI-PCPUMP,base,default,,ATI,ATI,grouped,,,None,Default,,,"130,91",,I-Series Pump w/ Speed Control for PowerCone,,ati/ati_powercone_pump_assembly.jpg,ati/ati_powercone_pump_assembly.jpg,ati/ati_powercone_pump_assembly.jpg,Block after Info Column,Enabled,No,"Catalog, Search",,,,,,,,,1 Year Manufacturer's Limited Warranty,Features speed control to allow adjustment of air and water flow and the innovative grid-wheel impeller to create a dense air-water mix.,"ATI I-Series Pump w/ Speed Control for PowerCone<br /><br /><strong>Product Specifications:</strong><br />- Power Consumption: up to 35W at full power<br />- Input Range: 110VAC / 60Hz<br />- Pump Dimensions: 6.0"" x 5.0"" x 5.5"" (L x W x H)<br />- Speed Control Dimensions: 5.9"" x 2.5"" x 1.1"" (L x W x H)<br />- Cable Length: 5ft from pump to speed control; 6ft from speed control to wall",,,,,I-Series Pump w/ Speed Control for PowerCone by ATI,"ATI I-Series Pump w/ Speed Control for PowerCone<br /><br /><strong>Product Specifications:</strong><br />- Power Consumption: up to 35W at full power<br />- Input Range: 110VAC / 60Hz<br />- Pump Dimensions: 6.0"" x 5.0"" x 5.5"" (L x W x H)<br />- Speed Control Dimensions: 5.9"" x 2.5"" x 1.1"" (L x W x H)<br />- Cable Length: 5ft from pump to speed control; 6ft from speed control to wall",0,1,,,,,,,,,,,,,"ATI0401,ATI0403,ATI0405",,,,,,,,,,,,,,,,,,
ATI0401,base,default,,ATI,ATI,simple,,,None,Default,,,,,I-Series Pump w/ Speed Control for PowerCone 160,I-Series 160,/ati/ati_noimage.jpg,/ati/ati_noimage.jpg,/ati/ati_noimage.jpg,Block after Info Column,Disabled,No,,,,,,,,,,1 Year Manufacturer's Limited Warranty,Features speed control to allow adjustment of air and water flow and the innovative grid-wheel impeller to create a dense air-water mix.,,,,,0,I-Series Pump w/ Speed Control for PowerCone 160 by ATI,,3,1,,,,,,,213.95,285.95,285.95,,,,,,,,,,,,,,,,,,,ATI PowerCone 160,285.95,,
ATI0403,base,default,,ATI,ATI,simple,,,None,Default,,,,,I-Series Pump w/ Speed Control for PowerCone 200,I-Series 200,ati/ati_powercone_pump_assembly.jpg,ati/ati_powercone_pump_assembly.jpg,ati/ati_powercone_pump_assembly.jpg,Block after Info Column,Enabled,No,,6,6,5,5.5,,,,,1 Year Manufacturer's Limited Warranty,Features speed control to allow adjustment of air and water flow and the innovative grid-wheel impeller to create a dense air-water mix.,"ATI I-Series Pump w/ Speed Control for PowerCone 200<br /><br /><strong>Product Specifications:</strong><br />- Power Consumption: up to 35W at full power<br />- Input Range: 110VAC / 60Hz<br />- Pump Dimensions: 6.0"" x 5.0"" x 5.5"" (L x W x H)<br />- Speed Control Dimensions: 5.9"" x 2.5"" x 1.1"" (L x W x H)<br />- Cable Length: 5ft from pump to speed control; 6ft from speed control to wall",,,,4,I-Series Pump w/ Speed Control for PowerCone 200 by ATI,"ATI I-Series Pump w/ Speed Control for PowerCone 200<br /><br /><strong>Product Specifications:</strong><br />- Power Consumption: up to 35W at full power<br />- Input Range: 110VAC / 60Hz<br />- Pump Dimensions: 6.0"" x 5.0"" x 5.5"" (L x W x H)<br />- Speed Control Dimensions: 5.9"" x 2.5"" x 1.1"" (L x W x H)<br />- Cable Length: 5ft from pump to speed control; 6ft from speed control to wall",3,1,,,,,,,213.95,285.95,285.95,,,,,,,,,,,,,,,,,,6,ATI PowerCone 200,285.95,,
ATI0405,base,default,,ATI,ATI,simple,,,None,Default,,,,,I-Series Pump w/ Speed Control for PowerCone 250,I-Series 250,ati/ati_powercone_pump_assembly.jpg,ati/ati_powercone_pump_assembly.jpg,ati/ati_powercone_pump_assembly.jpg,Block after Info Column,Enabled,No,,6,6,5,5.5,,,,,1 Year Manufacturer's Limited Warranty,Features speed control to allow adjustment of air and water flow and the innovative grid-wheel impeller to create a dense air-water mix.,"ATI I-Series Pump w/ Speed Control for PowerCone 250<br /><br /><strong>Product Specifications:</strong><br />- Power Consumption: up to 35W at full power<br />- Input Range: 110VAC / 60Hz<br />- Pump Dimensions: 6.0"" x 5.0"" x 5.5"" (L x W x H)<br />- Speed Control Dimensions: 5.9"" x 2.5"" x 1.1"" (L x W x H)<br />- Cable Length: 5ft from pump to speed control; 6ft from speed control to wall",,,,4,I-Series Pump w/ Speed Control for PowerCone 250 by ATI,"ATI I-Series Pump w/ Speed Control for PowerCone 250<br /><br /><strong>Product Specifications:</strong><br />- Power Consumption: up to 35W at full power<br />- Input Range: 110VAC / 60Hz<br />- Pump Dimensions: 6.0"" x 5.0"" x 5.5"" (L x W x H)<br />- Speed Control Dimensions: 5.9"" x 2.5"" x 1.1"" (L x W x H)<br />- Cable Length: 5ft from pump to speed control; 6ft from speed control to wall",3,1,,,,,,,213.95,285.95,285.95,,,,,,,,,,,,,,,,,,6,ATI PowerCone 250,285.95,,
ATI0407,base,default,,ATI,ATI,simple,,,None,Default,,,"130,91",,Grid-Wheel Impeller Assembly for PowerCone,,/ati/ati_powercone_gridwheel.jpg,/ati/ati_powercone_gridwheel.jpg,/ati/ati_powercone_gridwheel.jpg,Block after Info Column,Enabled,No,"Catalog, Search",1,,,,,,,,1 Year Manufacturer's Limited Warranty,Grid-Wheel Impeller Assembly for PowerCone,ATI Grid-Wheel Impeller Assembly for PowerCone,,,,13,Grid-Wheel Impeller Assembly for PowerCone by ATI,ATI Grid-Wheel Impeller Assembly for PowerCone,3,1,,,,,,,35.95,47.95,47.95,,,,,,,,,,,,,,,,,,0.5,"ATI PowerCone 200, ATI PowerCone 250",47.95,,
ATI0409,base,default,,ATI,ATI,simple,,,None,Default,,,"130,91",,Digital Air Flow Meter for PowerCone,,/ati/ati_powercone_digital_airflow_meter.jpg,/ati/ati_powercone_digital_airflow_meter.jpg,/ati/ati_powercone_digital_airflow_meter.jpg,Block after Info Column,Enabled,No,"Catalog, Search",1,,,,,,,,1 Year Manufacturer's Limited Warranty,Digital Air Flow Meter for PowerCone,ATI Digital Air Flow Meter for PowerCone,,,,7,Digital Air Flow Meter for PowerCone by ATI,ATI Digital Air Flow Meter for PowerCone,3,1,,,,,,,71.95,95.95,95.95,,,,,,,,,,,,,,,,,,0.5,"ATI PowerCone 200, ATI PowerCone 250",95.95,,
ATI0411,base,default,,ATI,ATI,simple,,,None,Default,,,"130,91",,Water Outlet Assembly for PowerCone w/ Round Base,,/ati/ati_powercone_water_outlet.jpg,/ati/ati_powercone_water_outlet.jpg,/ati/ati_powercone_water_outlet.jpg,Block after Info Column,Enabled,No,"Catalog, Search",1,,,,,,,,1 Year Manufacturer's Limited Warranty,Water Outlet Assembly for PowerCone w/ Round Base,ATI Water Outlet Assembly for PowerCone w/ Round Base,,,,4,Water Outlet Assembly for PowerCone w/ Round Base by ATI,ATI Water Outlet Assembly for PowerCone w/ Round Base,3,1,,,,,,,27.95,37.95,37.95,,,,,,,,,,,,,,,,,,0.5,"ATI PowerCone 200, ATI PowerCone 250",37.95,,
ATI0413,base,default,,ATI,ATI,simple,,,None,Default,,,"130,91",,I-Series Controller for PowerCone,,/ati/ati_noimage.jpg,/ati/ati_noimage.jpg,/ati/ati_noimage.jpg,Block after Info Column,Disabled,No,"Catalog, Search",1,,,,,,,,1 Year Manufacturer's Limited Warranty,I-Series Controller for PowerCone,ATI I-Series Controller for PowerCone,,,,0,I-Series Controller for PowerCone by ATI,ATI I-Series Controller for PowerCone,3,1,,,,,,,41.95,55.95,55.95,,,,,,,,,,,,,,,,,,0.5,"ATI PowerCone 200, ATI PowerCone 250",55.95,,
ATI-SUNPOWER,base,default,,ATI,ATI,grouped,,,None,Default,,,"115,124,125,43,48,49","/ati/ati_SunPower_6_bulb_underside.jpg,/ati/ati_SunPower_6_bulb_kit.jpg,/ati/ati_SunPower_4_bulb_underside.jpg,/ati/ati_SunPower_4_bulb_kit.jpg",SunPower T5 High-Output Fixture,,/ati/ati_SunPower_6_bulb_underside.jpg,/ati/ati_SunPower_6_bulb_underside.jpg,/ati/ati_SunPower_6_bulb_underside.jpg,Block after Info Column,Enabled,Yes,"Catalog, Search",,,,,,,,,1 Year Manufacturer's Limited Warranty,A favorite among hobbyists who want top-of-the-line performance at a lower cost. Features Miro-Silver reflectors & an active cooling system.,"ATI SunPower T5 High-Output Fixture<br /><br /><strong>Product Includes:</strong><br />- ATI SunPower<br />- Individual parabolic-style reflectors made from 98% reflective aluminum<br />- Active cooling system (Built-in cooling fans)<br />- Built-in electronic ballasts<br />- Acrylic Shield<br />- Hanging Kit<br />- AC-DC Adapter (Power supply for fans)<br />- Quick Start Guide<br /><br /><strong>Product Specifications:</strong><br />- Power Consumption: dependent on fixture size<br />- Warranty: 1-Year Manufacturer Limited Warranty<br /><br /><strong>Product Highlights:</strong><br />1. Output: Superior design and high-end components produce 50% more light than most other equally sized T5 fixtures. Active cooling system allows bulbs to run at a more optimal temperature improving both bulb output and bulb life.<br />2. Contemporary Design: Slim, silver colored body is lightweight, durable, rust-proof and just 2.1"" high. All components including the T5 ballasts are enclosed inside the fixture housing. The only items external to the fixture are a small junction box, 2 power-cords and an AC-DC Adapter to power the fans.<br />3. Independent Lamp Control: Fixture is wired with 2 bulbs on one power-cord and the other bulbs on the other allowing for independent control and dawn-dusk simulation.<br />4. Energy Efficient: Produces up to 50% more light than most other equally sized T5 fixtures without using more energy.<br /><br /><strong>General Sizing Guideline:</strong><br />- Tank Size: dependent on fixture size.<br />- Recommended Tank Length: dependent on fixture size.<br />- Recommended Tank Depth: up to 30"" with proper placement of corals.<br />- Recommended Tank Width: dependent on fixture size.",,,,,SunPower T5 High-Output Fixture by ATI,"ATI SunPower High-Output T5 Fixture is a favorite among hobbyists who want top-of-the-line performance at a lower cost.  Like the ATI Powermodule, the SunPower features Miro-Silver reflectors and an active cooling system for optimal performance and long lamp life. The bent aluminum housing is both stylish and economical. ",0,1,,,,,,,,,,,,,"ATI3001,ATI3003,ATI3004,ATI3005,ATI3007,ATI3008,ATI3009,ATI3011,ATI3012,ATI3013,ATI3015,ATI3017",,,,,,,,,,,ATIFIXTURES,,,,,,[select|Length/Wattage|yes][select|# of Bulbs|yes],"[24""/24W,36""/39W,48""/54W,60""/80W][4,6,8]"
